時間,設備,值
2024-10-26 09:47:35,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:36,SA-56/TEMPERATURE,30.32
2024-10-26 09:47:37,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:38,SA-56/TEMPERATURE,30.79
2024-10-26 09:47:39,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:41,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:43,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:45,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:47,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:49,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:51,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:53,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:54,SA-56/TEMPERATURE,30.32
2024-10-26 09:47:54,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:56,SA-56/TEMPERATURE,30.79
2024-10-26 09:47:57,SA-56/LINE_LEVEL,開燈
2024-10-26 09:47:59,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:00,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:03,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:05,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:07,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:09,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:11,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:12,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:15,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:17,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:19,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:21,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:23,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:25,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:27,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:29,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:31,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:33,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:35,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:37,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:39,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:41,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:43,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:45,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:47,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:49,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:51,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:53,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:55,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:57,SA-56/LINE_LEVEL,開燈
2024-10-26 09:48:59,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:01,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:03,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:05,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:07,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:09,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:11,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:13,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:15,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:17,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:19,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:21,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:23,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:25,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:27,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:29,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:31,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:33,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:35,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:37,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:39,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:41,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:43,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:45,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:47,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:49,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:51,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:53,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:55,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:57,SA-56/LINE_LEVEL,開燈
2024-10-26 09:49:59,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:01,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:03,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:05,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:07,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:09,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:11,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:13,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:15,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:17,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:19,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:21,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:23,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:25,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:27,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:29,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:31,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:33,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:35,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:37,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:39,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:41,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:43,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:45,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:47,SA-56/LINE_LEVEL,開燈
2024-10-26 09:50:50,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:00,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:00,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:00,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:00,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:00,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:01,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:03,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:05,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:08,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:09,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:11,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:13,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:14,SA-56/TEMPERATURE,31.26
2024-10-26 09:51:15,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:16,SA-56/TEMPERATURE,30.79
2024-10-26 09:51:17,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:19,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:21,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:23,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:25,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:27,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:29,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:30,SA-56/TEMPERATURE,31.26
2024-10-26 09:51:31,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:32,SA-56/TEMPERATURE,30.79
2024-10-26 09:51:33,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:35,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:37,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:39,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:41,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:43,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:45,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:47,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:49,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:51,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:53,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:55,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:57,SA-56/LINE_LEVEL,開燈
2024-10-26 09:51:59,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:01,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:03,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:05,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:07,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:09,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:11,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:13,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:15,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:17,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:19,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:21,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:23,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:24,SA-56/TEMPERATURE,31.26
2024-10-26 09:52:25,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:26,SA-56/TEMPERATURE,30.79
2024-10-26 09:52:27,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:29,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:31,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:33,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:35,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:37,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:39,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:41,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:43,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:45,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:47,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:49,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:51,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:53,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:55,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:57,SA-56/LINE_LEVEL,開燈
2024-10-26 09:52:59,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:01,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:02,SA-56/TEMPERATURE,31.26
2024-10-26 09:53:03,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:04,SA-56/TEMPERATURE,30.79
2024-10-26 09:53:05,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:07,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:09,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:11,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:13,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:15,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:16,SA-56/TEMPERATURE,31.26
2024-10-26 09:53:17,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:18,SA-56/TEMPERATURE,30.79
2024-10-26 09:53:19,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:21,SA-56/TEMPERATURE,31.26
2024-10-26 09:53:21,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:23,SA-56/TEMPERATURE,30.79
2024-10-26 09:53:23,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:25,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:27,SA-56/TEMPERATURE,31.26
2024-10-26 09:53:27,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:28,SA-56/TEMPERATURE,30.79
2024-10-26 09:53:29,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:30,SA-56/TEMPERATURE,31.26
2024-10-26 09:53:31,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:33,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:35,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:37,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:39,SA-56/TEMPERATURE,30.79
2024-10-26 09:53:39,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:41,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:43,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:45,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:47,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:49,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:51,SA-56/TEMPERATURE,31.26
2024-10-26 09:53:51,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:53,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:55,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:57,SA-56/TEMPERATURE,30.79
2024-10-26 09:53:57,SA-56/LINE_LEVEL,開燈
2024-10-26 09:53:59,SA-56/TEMPERATURE,31.26
2024-10-26 09:53:59,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:01,SA-56/TEMPERATURE,30.79
2024-10-26 09:54:01,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:03,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:05,SA-56/TEMPERATURE,31.26
2024-10-26 09:54:05,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:07,SA-56/TEMPERATURE,30.79
2024-10-26 09:54:07,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:09,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:11,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:13,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:15,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:17,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:19,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:21,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:23,SA-56/TEMPERATURE,31.26
2024-10-26 09:54:23,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:25,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:27,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:29,SA-56/TEMPERATURE,30.79
2024-10-26 09:54:29,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:31,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:33,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:34,SA-56/TEMPERATURE,31.26
2024-10-26 09:54:35,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:39,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:39,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:41,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:43,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:45,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:47,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:48,SA-56/TEMPERATURE,30.79
2024-10-26 09:54:49,SA-56/LINE_LEVEL,開燈
2024-10-26 09:54:50,SA-56/TEMPERATURE,31.26
2024-10-26 09:54:51,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:24,SA-56/LED_LEVEL,3
2024-10-26 15:24:25,SA-56/TEMPERATURE,26.58
2024-10-26 15:24:25,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:27,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:30,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:31,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:33,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:35,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:37,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:39,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:41,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:43,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:45,SA-56/TEMPERATURE,27.04
2024-10-26 15:24:45,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:47,SA-56/TEMPERATURE,26.58
2024-10-26 15:24:47,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:49,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:49,SA-56/LED_LEVEL,4
2024-10-26 15:24:51,SA-56/TEMPERATURE,27.04
2024-10-26 15:24:51,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:53,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:55,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:56,SA-56/LED_LEVEL,3
2024-10-26 15:24:56,SA-56/LED_LEVEL,4
2024-10-26 15:24:57,SA-56/LINE_LEVEL,開燈
2024-10-26 15:24:59,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:01,SA-56/TEMPERATURE,27.51
2024-10-26 15:25:01,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:02,SA-56/LED_LEVEL,3
2024-10-26 15:25:03,SA-56/TEMPERATURE,27.04
2024-10-26 15:25:03,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:03,SA-56/LED_LEVEL,2
2024-10-26 15:25:05,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:07,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:09,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:11,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:11,SA-56/LED_LEVEL,1
2024-10-26 15:25:13,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:15,SA-56/TEMPERATURE,27.51
2024-10-26 15:25:15,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:15,SA-56/LED_LEVEL,0
2024-10-26 15:25:17,SA-56/TEMPERATURE,27.04
2024-10-26 15:25:17,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:17,SA-56/LED_LEVEL,1
2024-10-26 15:25:19,SA-56/TEMPERATURE,27.51
2024-10-26 15:25:19,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:21,SA-56/TEMPERATURE,27.04
2024-10-26 15:25:21,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:23,SA-56/TEMPERATURE,27.51
2024-10-26 15:25:23,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:25,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:27,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:29,SA-56/TEMPERATURE,27.04
2024-10-26 15:25:29,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:31,SA-56/TEMPERATURE,27.51
2024-10-26 15:25:31,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:33,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:35,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:37,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:39,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:41,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:43,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:45,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:47,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:50,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:51,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:53,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:55,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:57,SA-56/LINE_LEVEL,開燈
2024-10-26 15:25:59,SA-56/TEMPERATURE,27.98
2024-10-26 15:25:59,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:01,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:03,SA-56/TEMPERATURE,27.51
2024-10-26 15:26:03,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:05,SA-56/TEMPERATURE,27.98
2024-10-26 15:26:05,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:07,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:09,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:11,SA-56/TEMPERATURE,27.51
2024-10-26 15:26:11,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:13,SA-56/TEMPERATURE,27.98
2024-10-26 15:26:13,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:15,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:17,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:19,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:21,SA-56/TEMPERATURE,27.51
2024-10-26 15:26:21,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:23,SA-56/TEMPERATURE,27.98
2024-10-26 15:26:23,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:25,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:27,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:29,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:31,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:33,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:35,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:37,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:40,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:41,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:44,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:45,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:47,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:49,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:52,SA-56/TEMPERATURE,28.45
2024-10-26 15:26:52,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:53,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:56,SA-56/TEMPERATURE,27.98
2024-10-26 15:26:56,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:57,SA-56/LINE_LEVEL,開燈
2024-10-26 15:26:59,SA-56/TEMPERATURE,28.45
2024-10-26 15:26:59,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:01,SA-56/TEMPERATURE,27.98
2024-10-26 15:27:01,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:03,SA-56/TEMPERATURE,28.45
2024-10-26 15:27:03,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:05,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:07,SA-56/TEMPERATURE,27.98
2024-10-26 15:27:07,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:09,SA-56/TEMPERATURE,28.45
2024-10-26 15:27:09,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:11,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:13,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:15,SA-56/TEMPERATURE,27.98
2024-10-26 15:27:15,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:17,SA-56/TEMPERATURE,28.45
2024-10-26 15:27:17,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:19,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:21,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:24,SA-56/LINE_LEVEL,開燈
2024-10-26 15:27:25,SA-56/LINE_LEVEL,開燈
